59.329,18.069
57.709,11.975
55.605,13.004
59.859,17.639
59.61,16.545
59.275,15.213
56.046,12.695
57.783,14.162
58.588,16.192
55.705,13.191
63.826,20.263
60.675,17.141
57.721,12.94
59.371,16.51
59.195,17.626
59.379,13.501
56.879,14.806
56.674,12.858
62.391,17.307
65.585,22.157
60.484,15.434
60.606,15.636
56.663,16.357
56.029,14.157
56.161,15.587
58.39,13.846
64.75,20.951
63.29,18.717
57.107,12.252
65.317,21.48
57.635,18.295
58.38,12.325
59.636,17.078
56.17,14.863
65.825,21.689
67.856,20.225
59.31,14.109
62.632,17.941
57.266,16.447
58.71,13.821
56.834,13.941
61.727,17.107
60.145,16.174
59.655,12.592
59.921,16.606
